ID,漢字,ひらがな
1,犬,いぬ
2,猫,ねこ
3,空,そら
4,山,やま
5,川,かわ
6,商品,しょうひん
7,会計,かいけい
8,契約,けいやく
9,予算,よさん
10,支出,ししゅつ
11,調達,ちょうたつ
12,北海道,ほっかいどう
13,札幌,さっぽろ
14,学校,がっこう
15,出張,しゅっちょう
16,職員,しょくいん
17,確認,かくにん
18,連絡,れんらく
19,資料,しりょう
20,予定価格,よていかかく
21,競争入札,きょうそうにゅうさつ
22,契約担当官,けいやくたんとうかん
23,支出負担行為,ししゅつふたんこうい
24,予算決算,よさんけっさん
25,履行期間,りこうきかん
26,仕様書,しようしょ
27,検査指令,けんさしれい
28,請求書,せいきゅうしょ
29,見積書,みつもりしょ
30,納入期限,のうにゅうきげん
